# 날자,주가,다우존스,나스닥100,환율
02월 08일,2177,25106,6913,1124
02월 04일,2177,25239,6960,1122
01월 28일,2177,24528,6697,1119
01월 18일,2124,24706,6784,1122
01월 11일,2075,23996,6601,1116
01월 04일,2010,23433,6422,1124
12월 27일,2028,23139,6288,1122
12월 19일,2079,23323,6342,1126
12월 12일,2095,24527,6764,1129
12월 04일,2114,25027,6795,1106
11월 27일,2099,24748,6701,1130
11월 19일,2100,25017,6642,1127
11월 12일,2080,25387,6829,1137
11월 05일,2077,25461,6937,1125
10월 29일,1996,24443,6714,1142
10월 22일,2162,25317,7141,1132
10월 15일,2145,25250,7068,1133
10월 08일,2254,26487,7353,1138
10월 01일,2339,26651,7645,1111
09월 24일,2345,26562,7548,1115
09월 17일,2303,26062,7435,1126
09월 10일,2289,25857,7447,1129
08월 31일,2323,25965,7654,1117
08월 24일,2293,25790,7485,1117
08월 17일,2247,25669,7377,1125
08월 10일,2283,25313,7408,1129
08월 03일,2288,25462,7395,1127
07월 27일,2295,25451,7297,1118
07월 20일,2289,25058,7350,1135
07월 13일,2311,25019,7376,1133
07월 06일,2273,24456,7207,1117
06월 28일,2314,24216,7031,1124
06월 21일,2338,24461,7217,1112
06월 14일,2423,25175,7279,1082
06월 07일,2470,25241,7153,1069
05월 31일,2423,24416,6968,1078
05월 23일,2472,24997,6953,1082
05월 16일,2460,24769,6930,1081
05월 09일,2444,24542,6893,1079
05월 02일,2505,23925,6644,1076
04월 25일,2449,24084,6514,1082
04월 18일,2480,24748,6833,1066
04월 11일,2444,24189,6583,1069
04월 04일,2408,24264,6560,1064
03월 27일,2452,23858,6530,1074
03월 20일,2485,24727,6886,1071
03월 13일,2494,25007,7046,1065
03월 06일,2411,24884,6913,1071
02월 27일,2456,25410,6900,1072
02월 20일,2415,24965,6779,1074
02월 12일,2385,24601,6524,1085
